ScripCode,TradingSymbol,Description,InstrumentType
26000,Nifty 50,Nifty 50,0
26003,Nifty 500,Nifty 500,0
26008,Nifty IT,Nifty IT,0
26009,Nifty Bank,Nifty Bank,0
26010,Nifty Midcap 100,Nifty MIDCAP 100,0
26011,Nifty SMLCAP 100,NIFTY SMLCAP 100,0
26012,Nifty 100,Nifty 100,0
26013,Next 50,Nifty Next 50,0
26014,Midcap 50,Nifty Midcap 50,0
26017,INDIA VIX,India VIX,0
26018,Mid Liq 15,Nifty Mid Liq 15,0
26019,Nifty Infra,Nifty Infra,0
26074,MID SELECT,NIFTY MID SELECT,0
26021,TOTAL MKT,NIFTY TOTAL MKT,0
26022,MICROCAP250,NIFTY MICROCAP250,0
26023,IND DIGITAL,NIFTY IND DIGITAL,0
26024,Nifty PSE,Nifty PSE,0
26025,Pvt Bank,Nifty Pvt Bank,0
26026,Quality 30,Nifty100 Quality 30,0
26027,100 ESG,NIFTY100 ESG,0
26028,M150 QLTY50,NIFTY M150 QLTY50,0
26029,GS 10Yr Cln,Nifty GS 10Yr Cln,0
26030,GS 4 8Yr,Nifty GS 4 8Yr,0
26031,INDIA MFG,NIFTY INDIA MFG,0
26041,Nifty CPSE,Nifty CPSE,0
26051,100 Liq 15,Nifty100 Liq 15,0
26052,Nifty Realty,Nifty Realty,0
26053,GS 8 13Yr,Nifty GS 8 13Yr,0
26054,Nifty Energy,Nifty Energy,0
26055,Nifty FMCG,Nifty FMCG,0
26056,Nifty MNC,Nifty MNC,0
26057,Nifty Pharma,Nifty Pharma,0
26058,GS 10Yr,Nifty GS 10Yr,0
26059,PSU Bank,Nifty PSU Bank,0
26060,Serv Sector,Nifty Serv Sector,0
26061,Nifty Auto,Nifty Auto,0
26062,Nifty Metal,Nifty Metal,0
26063,Nifty Media,Nifty Media,0
26065,Nifty 200,Nifty 200,0
26066,Commodities,Nifty Commodities,0
26067,Consumption,Nifty Consumption,0
26037,Fin Service,Nifty Fin Service,0
26069,GS 11 15Yr,Nifty GS 11 15Yr,0
26070,GS 15YrPlus,Nifty GS 15YrPlus,0
26071,GS Compsite,Nifty GS Compsite,0
26073,50 PR 2x Lev,Nifty50 PR 2x Lev,0
26020,50 PR 1x Inv,Nifty50 PR 1x Inv,0
26075,50 TR 2x Lev,Nifty50 TR 2x Lev,0
26076,50 TR 1x Inv,Nifty50 TR 1x Inv,0
26078,Div Opps 50,Nifty Div Opps 50,0
26080,50 Div Point,Nifty50 Div Point,0
26081,50 Value 20,Nifty50 Value 20,0
26082,GrowSect 15,Nifty GrowSect 15,0
26083,50 EQL Wgt,Nifty50 Equal Weight,0
26084,100 EQL Wgt,Nifty100 Equal Weight,0
26085,100 LowVol30,Nifty100 Low Volatility 30,0
26086,Alpha 50,NIFTY Alpha 50,0
26087,Midcap 150,NIFTY MIDCAP 150,0
26088,Smallcap 50,NIFTY SMLCAP 50,0
26089,Smallcap 250,NIFTY SMLCAP 250,0
26091,MidSmallcap 400,NIFTY MIDSML 400,0
26092,200 Quality 30,NIFTY200 QUALTY30,0
26095,CONSR DURBL,NIFTY CONSR DURBL,0
26096,HEALTHCARE,Nifty Healthcare Index,0
26097,LARGEMID250,Nifty LargeMidcap 250,0
26098,500 MULTICAP,Nifty500 Multicap 50:25:25,0
26099,OIL AND GAS,Nifty Oil & Gas,0
26093,FinSrv25,Nifty FinSrv25 50,0
26094,Alpha LowVol,NIFTY AlphaLowVol,0
26068,100 ES,Nifty 100ES,0
26067,200 Momen,NIFTY 200MO,0
16921,20MICRONS-EQ,20 MICRONS LTD,0
7750,21STCENMGM-BE,21ST CENTURY MGMT SERVICE,0
13061,360ONE-EQ,360 ONE WAM LIMITED,0
6232,3IINFOLTD-EQ,3I INFOTECH LIMITED,0
474,3MINDIA-EQ,3M INDIA LIMITED,0
2595,3PLAND-EQ,3P LAND HOLDINGS LIMITED,0
445,5PAISA-EQ,5PAISA CAPITAL LIMITED,0
11868,63MOONS-EQ,63 MOONS TECHNOLOGIES LTD,0
20910,A2ZINFRA-BE,A2Z INFRA ENGINEERING LTD,0
12542,AAATECH-BE,AAA TECHNOLOGIES LIMITED,0
23729,AADHARHFC-EQ,AADHAR HOUSING FINANCE L,0
240,AAKASH-BE,AAKASH EXPLORATION SER L,0
5248,AAREYDRUGS-BE,AAREY DRUGS & PHARM LTD,0
1030,AARON-EQ,AARON INDUSTRIES LIMITED,0
17164,AARTECH-BE,AARTECH SOLONICS LIMITED,0
4481,AARTIDRUGS-EQ,AARTI DRUGS LTD.,0
7,AARTIIND-EQ,AARTI INDUSTRIES LTD,0
13868,AARTIPHARM-EQ,AARTI PHARMALABS LIMITED,0
19233,AARTISURF-EQ,AARTI SURFACTANTS LIMITED,0
13771,AARVEEDEN-EQ,AARVEE DEN. & EXP. LTD,0
19073,AARVI-EQ,AARVI ENCON LIMITED,0
16961,AATMAJ-SM,AATMAJ HEALTHCARE LIMITED,0
5385,AAVAS-EQ,AAVAS FINANCIERS LIMITED,0
7759,ABAN-BE,ABAN OFFSHORE LTD.,0
13,ABB-EQ,ABB INDIA LIMITED,0
17903,ABBOTINDIA-EQ,ABBOTT INDIA LIMITED,0
21614,ABCAPITAL-EQ,ADITYA BIRLA CAPITAL LTD.,0
7787,ABCOTS-SM,A B COTSPIN INDIA LIMITED,0
24308,ABDL-EQ,ALLIED BLEND N DISTILS L,0
30108,ABFRL-EQ,ADITYA BIRLA FASHION & RT,0
